"タイムスタンプ","あなたのCrowdWorks表示名（下記URLの右側に表示されているCrowdworks上のユーザー名）を記載して下さい。","性別","年齢 （例、25）","あなたの出身地を入力してください（例、大阪府）","今の時刻を入力してください","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、話している人の性格はどう感じましたか","このビデオにおいて、話している人のテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","このビデオにおいて、ジェスチャーの自然さはいかがでしたか？","このビデオにおいて、ロボットはどういう性格に感じましたか","このビデオにおいて、ロボットのテンションはどう感じましたか","活発だと思う","温和だと思う","鈍感だと思う","感情的だと思う","知性的だと思う","同調的だと思う","積極的だと思う","無神経だと思う","分析的だと思う","自責しがちだと思う","協力的だと思う","独創的だと思う","話好きだと思う","心配性だと思う","無責任だと思う","陽気だと思う","考察するのが好きだと思う","いい加減だと思う","穏やかだと思う","混乱しやすいと思う","本実験全体を通して、アバターとロボットの振る舞いの不自然さなど、お気づきの点や感想などを自由にお書きください。"
"2022/02/21 2:50:30 午後 GMT+9","yoimachigusa","女","29","埼玉県","14:25","2","2","2","3","4","3","3","3","3","3","5","4","5","3","4","4","5","3","4","4","6","5","5","3","5","3","1","1","4","3","3","4","4","4","6","5","1","2","3","2","4","4","1","2","2","6","6","4","5","6","4","5","4","4","5","4","5","4","4","3","5","4","3","6","5","4","7","6","4","6","5","3","1","2","2","6","5","4","6","6","5","1","4","5","4","5","5","5","6","5","6","6","5","4","3","3","4","3","2","6","6","5","3","2","2","5","5","4","6","6","5","5","5","5","2","2","1","5","4","3","4","3","2","4","4","5","2","5","1","5","5","5","2","2","5","5","5","5","2","7","1","1","4","4","4","5","特に、話し手のテンションの高さを判断する際に迷うことが多かった。"
"2022/02/21 2:50:39 午後 GMT+9","takotsubo8","女","38","兵庫県","02:26","3","4","5","4","5","4","5","3","6","4","6","5","5","4","5","4","6","5","4","3","5","4","3","2","6","5","2","2","6","4","4","4","5","4","6","4","2","4","4","1","4","4","3","4","4","6","6","5","4","5","4","2","4","3","5","4","4","3","5","4","3","4","2","5","4","4","7","4","4","3","5","4","5","5","4","7","4","4","4","5","3","3","4","3","4","5","4","5","5","5","5","6","5","7","5","5","5","4","3","5","5","5","4","3","3","5","6","5","4","6","5","5","6","6","3","5","4","6","6","5","4","5","4","7","6","5","2","4","1","7","5","7","4","3","4","7","6","2","4","7","3","4","6","1","3","7","首の動き一つで印象がこんなに違うのかと驚いた。"
"2022/02/21 2:50:52 午後 GMT+9","toge7188","男","37","神奈川県","14:26","1","1","5","4","3","5","2","5","6","5","6","5","5","5","4","4","5","6","5","5","3","5","2","2","5","6","1","1","6","5","2","2","2","3","2","3","4","1","1","6","1","1","4","2","2","6","4","4","5","4","4","4","4","3","4","3","4","3","2","3","4","2","2","5","3","5","7","3","5","5","3","4","4","2","2","5","3","5","3","3","5","4","2","2","4","3","3","4","3","4","5","3","5","5","4","5","4","3","4","5","4","5","4","3","2","4","3","3","6","4","6","4","4","5","4","3","2","4","4","5","4","3","4","5","3","4","1","2","6","4","4","3","1","5","5","7","3","4","1","7","6","2","4","5","2","6","最初に出て来る大きい方のロボットは顔の表情が暗いので、全体的に内向的でテンションが低めに見えます。小さくて可愛い方のロボットは、ある程度外交的に見えますが、声とあまり合っていないように感じました。"
"2022/02/21 2:52:44 午後 GMT+9","mihaylov","女","50","兵庫県","14:26","1","1","1","1","2","2","3","3","3","3","3","3","5","4","3","3","6","5","5","5","6","6","5","5","6","6","2","2","6","5","3","3","3","3","3","3","3","2","2","4","3","4","6","6","5","6","6","5","7","6","6","7","6","6","7","7","7","5","6","4","2","3","3","5","5","4","6","5","5","6","5","6","2","3","3","7","6","4","6","6","5","1","3","2","5","5","5","5","5","5","6","6","6","7","6","4","6","6","5","6","6","5","7","4","4","7","5","4","7","7","5","7","6","6","7","7","6","7","5","4","7","5","4","7","5","4","7","6","2","2","3","4","7","1","6","6","7","6","4","7","1","7","7","1","6","1","穏やかでリアクションが小さくても一所懸命な動きから読み取れるような気がしました。参加させて頂きありがとうございました。"
"2022/02/21 2:53:03 午後 GMT+9","kei_0107","男","26","東京都","14:27","3","3","4","4","5","4","5","4","5","4","5","5","5","5","5","4","5","4","5","4","5","5","4","5","5","5","3","2","4","4","4","4","4","3","4","5","2","3","3","2","3","2","2","3","3","3","4","5","5","5","5","4","4","4","4","4","3","4","3","4","3","3","3","3","4","4","6","4","4","4","4","4","5","4","3","5","5","5","4","4","4","2","4","4","3","5","4","4","4","5","4","5","5","5","5","4","4","4","3","4","5","4","4","3","2","3","3","3","4","4","4","4","3","4","4","3","4","4","4","4","3","3","4","4","4","3","2","6","4","4","5","5","3","3","4","5","3","4","3","6","4","2","4","4","6","5","アバターにしてもロボットにしても「院卒、大卒、・・・」といったような段階ごとにジェスチャーをとる部分が最も自然に見えました。"
"2022/02/21 2:53:45 午後 GMT+9","muranaka802","男","28","千葉県","14:26","2","2","2","3","3","4","3","4","3","3","5","4","5","5","4","5","4","3","5","4","3","4","5","5","5","5","4","1","5","2","5","3","5","5","5","6","1","3","3","3","2","3","2","3","3","5","5","6","5","3","3","5","4","4","4","5","5","3","4","3","3","4","5","3","3","2","5","3","3","5","4","3","3","2","2","5","4","5","3","4","3","4","5","5","3","5","5","6","6","6","6","7","6","7","6","5","5","4","3","5","5","4","5","3","2","3","2","3","6","4","3","5","4","4","5","5","5","5","3","4","5","5","3","5","5","4","4","5","3","5","5","6","5","2","5","5","5","5","5","6","3","3","5","3","5","5","同じ口調で話していても、話している時の表情やしぐさによってここまで大きく印象が変わるのだとアバターやロボットの振る舞いを見て改めて感じました。"
"2022/02/21 2:54:22 午後 GMT+9","yuyu1412","女","41","愛媛県","14:27","2","2","2","1","3","3","2","1","2","2","2","3","4","3","3","2","2","2","3","2","3","3","2","2","3","2","1","2","3","2","2","2","3","3","2","3","3","2","3","1","2","2","2","3","3","6","5","5","3","4","3","2","2","3","4","2","2","2","2","2","2","2","2","6","3","2","6","3","3","3","4","3","3","2","2","4","4","5","3","4","3","1","2","1","1","2","2","2","3","3","3","4","4","5","5","4","2","3","2","3","4","4","2","2","1","3","3","2","2","5","4","5","4","5","3","2","2","3","3","2","4","3","3","5","5","4","1","5","6","5","5","6","2","5","6","3","2","5","3","7","5","3","5","6","5","6","最初の方はロボットが異様に見えるのですが、だんだん見慣れてしまって、あとのほうが好意的に見てしまっていた気がします。"
"2022/02/21 2:55:09 午後 GMT+9","minmin0214","女","35","大阪府","14:26","3","1","2","3","3","4","5","4","5","4","5","5","6","5","4","5","6","5","6","4","5","4","4","5","6","4","2","4","3","3","5","4","4","3","6","5","5","2","4","4","4","3","6","5","4","6","6","5","5","6","4","4","5","3","4","6","4","3","5","3","5","5","4","4","6","3","3","4","3","5","5","5","5","3","3","5","5","4","3","4","4","4","5","4","6","6","5","5","6","5","4","6","4","4","4","4","3","3","4","5","6","6","3","3","4","2","4","3","5","6","5","4","6","4","3","4","3","4","5","4","4","3","3","6","5","6","2","3","5","6","3","4","2","4","3","5","3","5","3","7","5","2","4","6","3","5","アバターもロボットも人間同様に振る舞いが大きかったり小さかったりで印象が違うように感じるなと思いました。"
"2022/02/21 2:55:50 午後 GMT+9","chiyos","男","39","岐阜県","14:26","3","3","5","5","6","6","5","5","6","6","7","7","6","7","6","5","6","6","5","5","5","6","4","5","5","6","3","3","4","4","2","2","3","3","4","4","2","2","2","4","3","2","5","4","4","6","5","5","5","4","4","5","4","4","5","5","5","4","4","5","5","5","5","6","5","6","7","5","6","5","6","6","5","4","4","7","5","6","5","4","5","3","4","4","4","5","5","5","6","6","6","4","4","7","5","6","5","4","5","6","5","6","5","4","4","5","4","4","6","6","7","6","6","6","5","3","3","4","5","5","5","3","2","6","4","5","4","5","6","3","4","5","3","5","4","6","5","3","2","6","4","3","4","4","5","5","話す内容に振舞いがあってるのが一番自然だが、それほどあってなくても振舞いがあった方が良い印象を受けると感じた"
"2022/02/21 2:55:51 午後 GMT+9","u5kripzrzk ","男","35","東京都","14:27","2","3","4","4","3","4","3","3","4","5","5","5","6","6","3","4","6","6","5","5","4","5","4","4","6","5","1","2","5","6","4","5","3","3","4","5","5","5","6","4","4","5","3","2","2","5","5","4","5","5","6","6","5","4","4","5","5","3","2","3","4","3","2","4","3","3","4","3","2","2","2","1","5","5","6","4","4","4","5","5","4","3","4","5","3","5","5","4","5","5","2","4","6","5","5","4","4","5","6","4","6","6","5","2","2","5","4","4","5","4","5","2","2","1","5","4","4","5","4","4","2","3","3","4","3","3","3","6","4","2","4","5","4","2","5","4","6","3","4","4","2","4","5","5","6","3","非常に興味深い実験に参加できて良かったです。"
"2022/02/21 2:56:16 午後 GMT+9","free612","女","37","神奈川県","14:29","2","3","3","4","4","3","4","4","6","6","3","5","5","7","3","4","6","7","2","4","2","2","3","2","6","3","1","1","3","4","3","4","3","3","4","5","2","1","1","3","2","3","6","4","4","6","6","6","7","6","6","5","4","4","5","4","5","3","3","3","5","3","4","3","2","3","7","6","5","3","4","3","2","2","2","6","5","6","5","4","4","3","3","4","4","5","6","5","4","4","6","6","6","7","5","6","6","5","4","6","4","5","4","3","4","5","4","5","6","4","5","7","6","6","2","3","2","6","5","6","4","4","4","7","6","6","5","6","4","5","4","4","5","3","4","1","5","4","6","2","2","6","4","3","5","2","動きひとつで、こんなに印象が違うんだなぁと驚きました。"
"2022/02/21 2:56:20 午後 GMT+9","yumi95","女","48","埼玉県","14:26","3","2","4","4","5","3","4","3","5","5","6","5","6","6","6","5","6","5","6","6","5","4","5","3","7","7","3","3","5","5","4","3","4","4","5","5","3","3","2","5","4","3","6","4","4","6","6","5","6","5","5","6","3","4","5","4","4","6","5","4","7","5","4","6","5","5","7","6","5","5","4","4","5","3","4","7","6","6","4","4","5","3","3","2","3","4","5","2","4","5","4","5","5","5","5","5","3","4","3","5","5","5","3","3","4","4","5","6","5","5","5","4","5","6","5","3","3","5","6","5","6","3","3","4","5","5","3","5","2","4","4","5","2","3","5","5","5","3","4","5","2","3","5","2","6","5","少しの動作の違いで、大分印象が変わるものなのだと思い、興味深かったです。自分の話すときはどうなのだろうと考えてしまいました。"
"2022/02/21 2:56:55 午後 GMT+9","riramohu","女","43","北海道","14:27","2","2","3","3","4","5","4","3","5","5","4","5","6","5","4","5","6","5","6","6","7","6","5","4","7","7","1","2","5","4","6","5","4","3","5","4","2","4","4","2","3","3","5","5","5","7","6","5","7","7","6","5","5","5","7","7","6","4","5","4","5","4","4","6","4","3","7","5","4","5","4","5","3","3","2","6","5","5","4","4","5","3","4","4","4","5","5","5","5","5","6","5","6","6","5","4","5","4","5","5","5","5","4","3","3","5","4","3","7","6","5","6","6","5","3","3","3","5","5","5","4","4","3","5","4","4","3","6","3","2","5","7","3","1","3","3","6","2","5","7","1","3","3","1","6","5","アバターとロボットの振る舞いで明らかに不自然だと思うことはありませんでした。仕草はどれも微妙な変化なので、判断するのはとても難しいと感じました。"
"2022/02/21 2:57:30 午後 GMT+9","matosa3","男","29","静岡県","14:33","3","5","5","6","3","3","2","3","3","2","4","5","5","6","3","4","3","2","2","3","4","3","5","5","5","5","1","2","2","2","3","5","3","3","3","4","2","2","2","4","4","4","3","3","3","5","5","6","6","5","5","5","4","4","4","3","3","3","3","2","5","3","5","4","3","3","5","3","2","4","3","3","5","4","3","6","5","5","6","6","5","3","3","3","2","4","5","5","4","5","3","3","5","6","5","3","5","3","4","3","5","5","3","2","3","3","3","2","5","4","3","5","5","5","3","3","4","5","3","3","3","2","3","5","5","4","3","5","4","5","5","5","3","3","5","6","5","5","5","6","5","5","6","5","5","3","「院卒、大卒…」と単語を羅列する場面で手のジェスチャーが単語ごとに切り替わるロボットはかなり自然な動作をしていると感じました。"
"2022/02/21 2:57:32 午後 GMT+9","cw_maki","女","46","東京都","14:27","2","3","3","3","3","3","3","3","3","3","4","3","4","3","4","3","4","3","4","3","4","3","4","3","4","3","1","1","3","3","4","4","4","4","4","4","1","4","4","2","4","4","4","4","4","5","4","4","5","4","4","4","4","4","5","4","4","4","4","4","5","4","4","5","4","4","6","5","4","6","5","4","4","4","4","6","5","4","5","4","4","1","5","5","1","5","5","1","5","5","3","5","4","3","4","4","3","4","5","3","4","4","4","4","4","4","4","5","5","5","4","4","5","5","4","4","4","4","4","4","4","4","4","5","5","5","3","5","3","3","4","4","3","3","4","4","5","4","4","5","3","4","5","3","5","4","手、腕が口調と一緒に流れるように動いていると自然に見えると感じた"
"2022/02/21 2:58:11 午後 GMT+9","poke","女","39","岡山県","14:27","2","2","5","5","7","6","6","6","6","6","6","6","6","7","5","4","6","6","6","5","7","6","3","3","5","5","1","1","5","4","3","3","3","3","5","5","3","3","3","4","2","3","5","4","4","7","6","6","7","5","5","7","5","4","7","6","5","6","4","3","7","4","4","7","4","5","7","6","5","6","6","6","6","4","5","7","5","5","7","5","6","1","5","5","3","6","6","5","6","6","6","6","7","7","5","4","7","6","6","6","6","5","5","3","3","6","4","4","7","6","5","6","5","5","3","4","4","7","5","5","6","4","3","7","5","5","2","3","1","6","5","3","2","1","6","3","5","5","3","6","1","6","7","1","5","2","動作が加わると印象が変わることが分かり面白かった。"
"2022/02/21 2:58:35 午後 GMT+9","haru6991","男","24","福岡県","14:32","3","2","3","2","4","3","3","2","6","5","6","5","7","7","7","7","7","7","7","7","7","7","5","5","7","6","1","1","6","6","5","4","5","5","7","6","1","3","4","1","3","3","3","4","3","7","6","6","6","6","6","3","5","4","4","5","4","3","4","3","3","4","4","6","5","4","7","5","5","4","5","4","2","5","5","7","6","6","5","6","6","2","3","3","2","3","4","6","5","6","5","5","4","3","4","3","5","6","5","5","6","6","1","3","5","2","4","4","7","6","6","5","6","7","1","4","5","2","4","4","3","5","3","7","7","7","5","7","2","4","5","5","6","2","5","4","7","5","5","3","1","6","6","1","5","1","人間の声との想像力みたいなものを集中して感じるようにしました"
"2022/02/21 2:58:39 午後 GMT+9","摩天楼さね","男","43","福岡県","14:27","2","1","3","3","5","4","4","4","6","4","5","3","6","5","5","3","6","5","4","5","4","3","3","2","5","3","1","1","3","3","6","5","5","4","6","4","1","1","1","1","1","2","4","1","2","5","4","3","6","5","5","4","3","3","5","5","4","4","3","3","4","2","2","5","4","3","7","5","5","6","7","6","5","4","3","7","6","6","6","7","6","2","3","2","3","3","5","5","5","5","6","6","5","7","5","5","5","4","3","5","5","4","3","2","2","5","4","5","6","5","6","5","6","6","3","2","2","6","5","5","4","3","2","6","4","5","3","6","3","5","5","6","3","2","6","5","6","4","3","5","2","2","6","1","6","3","台詞が入るとアバターの評価がやりやすくなると感じました"
"2022/02/21 2:58:45 午後 GMT+9","SYHL24","男","27","大阪府","14:27","5","2","5","3","5","2","4","3","5","5","6","4","5","2","4","4","5","5","6","4","5","5","4","3","6","5","2","2","5","3","5","3","5","3","5","4","2","3","2","3","4","3","3","5","5","5","6","5","6","6","6","4","5","5","6","6","5","3","5","3","5","5","3","3","5","4","7","5","4","2","4","3","3","5","3","6","6","5","4","5","5","2","3","4","6","5","5","6","4","5","6","6","6","7","5","5","5","3","4","5","6","6","5","3","4","3","5","5","6","6","5","6","6","5","6","4","5","5","5","4","6","3","4","7","3","4","2","5","3","3","4","5","2","2","3","7","5","2","2","7","3","3","4","3","5","5","声のトーンは同じでもジェスチャーの違いだけで受け取り方がこんなにも違うのか、と改めて感じました。実験ありがとうございました。"
"2022/02/21 2:59:08 午後 GMT+9","SHOBOTARO","男","36","東京都","14:26","2","2","3","2","3","2","3","4","5","4","2","1","5","4","3","2","5","6","7","6","6","5","5","5","5","6","1","1","3","2","4","3","5","2","5","4","1","1","1","3","3","2","2","3","2","4","3","3","5","5","4","5","6","3","6","5","4","3","2","1","6","4","5","4","3","2","4","4","2","6","2","3","5","4","2","6","3","4","4","6","4","3","4","3","5","3","4","5","7","6","6","7","5","2","3","2","6","4","5","6","5","4","3","2","3","1","2","3","4","3","3","5","6","5","3","2","3","2","2","1","3","3","2","4","5","5","1","4","3","6","4","4","1","4","5","5","4","2","2","6","4","1","5","4","4","5","腕の動きが会話ともう少しマッチすれば、より人間に近い存在になっていくと今回感じました。"
"2022/02/21 2:59:17 午後 GMT+9","a0508","女","34","宮城県","14:28","3","3","3","4","3","3","2","2","2","3","4","4","3","2","4","3","3","2","5","4","5","4","3","2","3","3","3","2","3","4","4","4","3","4","4","4","2","3","2","3","2","2","2","2","2","3","4","4","6","4","4","3","3","3","4","3","3","2","3","2","3","2","2","5","3","4","7","5","4","3","4","3","3","3","2","5","4","4","5","4","4","2","4","3","3","4","3","3","4","4","6","5","4","6","5","4","5","4","4","4","4","4","3","4","4","5","4","3","6","5","4","4","4","3","2","3","2","3","4","4","5","4","3","5","4","4","2","3","6","6","1","4","2","5","2","4","3","2","2","7","5","3","2","5","3","5","実際の人間と照らし合わせながら自然かどうかを判断しました。難しく感じました"
"2022/02/21 2:59:28 午後 GMT+9","さきねひな","女","27","大阪府","14:26","1","1","3","3","4","4","4","4","5","5","4","3","6","5","4","3","5","6","4","4","4","3","2","1","5","6","1","1","2","2","7","5","6","5","7","6","1","4","3","3","3","4","4","4","4","7","7","7","6","6","5","5","5","5","6","5","5","4","3","4","3","3","3","5","5","5","4","3","4","7","7","7","5","5","5","7","6","6","6","7","7","1","3","4","2","3","4","3","5","5","4","5","5","5","7","6","4","6","5","4","7","7","5","4","4","6","7","7","6","6","6","5","7","7","6","6","5","6","7","7","5","6","6","6","6","5","6","6","5","5","2","4","6","3","3","4","6","5","7","6","3","6","4","7","5","3","特になし"
"2022/02/21 2:59:28 午後 GMT+9","toon00","女","48","兵庫県","14:30","2","2","3","3","3","2","4","4","4","4","5","4","5","5","5","5","5","6","4","4","5","4","4","4","6","5","2","2","5","5","3","3","4","3","4","4","2","2","2","2","2","3","4","4","4","5","5","5","5","5","4","4","3","3","5","5","4","4","4","4","4","3","4","5","5","4","6","6","5","4","4","5","4","3","3","6","5","5","4","4","4","3","3","3","4","4","4","5","4","5","6","5","5","5","5","4","5","4","4","6","5","4","3","3","3","4","4","3","6","5","5","5","6","5","3","4","3","5","5","4","4","4","4","5","4","4","3","5","4","4","4","4","5","3","5","4","5","5","5","5","4","4","5","4","5","5","ありませんでした"
"2022/02/21 3:01:03 午後 GMT+9","Shaun_F","女","34","大阪府","14:26","2","2","3","2","4","5","3","4","4","5","3","4","4","4","3","4","4","5","3","3","4","5","3","2","4","4","2","2","3","2","3","5","4","4","4","5","2","3","4","4","3","4","5","4","5","4","4","5","6","5","5","4","4","5","5","4","4","3","3","2","4","3","2","6","4","5","7","5","5","3","4","5","3","3","2","6","4","5","4","5","5","4","4","5","4","6","6","4","5","5","5","6","5","6","6","5","5","5","4","5","6","5","4","4","4","4","5","4","5","5","5","5","6","6","4","5","5","5","5","4","4","5","4","6","5","5","1","4","3","2","2","4","2","2","3","5","5","2","2","6","2","2","3","3","3","5","段階を話す時の手の仕草がとてもリアルで良いと思いました。"
"2022/02/21 3:01:11 午後 GMT+9","home1456","女","21","千葉県","14:26","4","1","3","1","2","1","3","1","2","1","3","1","5","2","3","1","4","2","3","1","5","3","3","1","5","5","1","1","1","1","4","3","3","5","5","5","1","4","1","1","3","2","1","3","3","5","5","2","5","4","2","3","1","1","1","1","1","1","4","3","5","3","4","4","3","1","7","3","1","5","3","3","2","3","1","6","4","1","5","3","3","1","4","4","5","3","3","3","2","3","3","5","5","6","5","5","3","2","3","5","5","5","1","1","1","1","3","3","6","5","3","5","6","5","1","2","1","4","5","5","3","3","5","6","5","5","3","3","1","5","5","7","5","1","5","7","7","4","3","1","1","4","5","3","5","1","音声がないと、ロボットの動きがどうであれよくわからなくなり、声がつくとロボットの振る舞いやテンションの分析がわかりやすくなった気がした。"
"2022/02/21 3:01:22 午後 GMT+9","yanotoshi679","女","43","福岡県","14:33","2","2","2","2","4","4","3","3","5","5","5","4","7","7","7","7","7","7","7","7","7","7","6","5","7","7","1","1","6","7","6","4","6","5","7","7","1","4","5","1","4","4","2","5","4","6","6","5","7","6","5","4","5","5","5","5","4","2","4","3","4","4","3","5","5","5","6","5","4","3","5","4","3","4","5","6","5","6","6","6","5","1","4","4","3","4","4","6","4","6","6","5","5","4","5","4","6","6","6","6","5","6","2","4","4","3","3","5","7","6","5","6","5","6","1","4","6","3","4","5","4","5","5","7","6","6","7","5","2","6","4","3","6","2","4","3","7","5","6","1","2","7","5","2","4","1","口の動きや手のしぐさに声があっているかどうかの判断とテンションの具合の評価が難しかったです"
"2022/02/21 3:02:44 午後 GMT+9","yutapon1967","男","35","奈良県","14:25","2","2","3","3","5","4","3","4","5","3","5","5","6","5","3","5","6","4","4","5","5","4","6","2","7","5","1","2","6","3","4","5","6","4","6","5","1","3","3","2","4","4","3","5","4","6","6","5","6","5","5","5","4","5","3","4","4","3","3","4","5","3","4","6","4","5","7","6","4","7","6","5","4","3","4","6","6","4","6","5","5","4","3","5","4","4","5","5","5","5","6","6","4","7","6","5","4","5","5","5","5","5","3","3","4","6","6","4","7","6","5","6","4","5","3","4","3","6","5","5","5","5","4","6","5","6","3","4","2","4","5","2","3","4","6","7","3","5","3","7","5","3","6","6","5","7","例えば積極的に見える動きと言っても、絶えず動き続けるアクティブな挙動以外に、ゆっくりでも大きく雄大な挙動など、そう感じるパターンは色々あることがわかりました。更に発言の内容と動きが一致しているものなども知性を感じさせる積極的な人に感じました。"
